,0
0,1
1,0
2,0
3,1
4,1
5,1
6,0
7,0
8,0
9,1
10,1
11,1
12,1
13,0
14,1
15,1
16,0
17,1
18,1
19,1
20,0
21,0
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,0
30,1
31,1
32,1
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,1
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,0
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,0
71,0
72,0
73,1
74,1
75,0
76,1
77,0
78,0
79,0
80,1
81,0
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,0
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,0
98,1
99,0
100,0
101,0
102,0
103,0
104,1
105,1
106,0
107,0
108,1
109,1
110,0
111,1
112,0
113,1
114,1
115,0
116,1
117,1
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,1
136,0
137,0
138,1
139,1
140,0
141,1
142,1
143,0
144,1
145,0
146,0
147,1
148,0
149,1
150,1
151,1
152,0
153,0
154,0
155,1
156,1
157,0
158,0
159,1
160,0
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,0
170,1
171,1
172,1
173,0
174,1
175,1
176,1
177,0
178,0
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,0
188,0
189,1
190,1
191,1
192,1
193,1
194,1
195,0
196,0
197,1
198,0
199,0
200,0
201,1
202,1
203,1
204,0
205,1
206,1
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,1
217,1
218,1
219,1
220,0
221,0
222,0
223,1
224,0
225,1
226,0
227,0
228,1
229,0
230,0
231,0
232,0
233,1
234,1
235,0
236,0
237,1
238,1
239,1
240,0
241,0
242,1
243,0
244,0
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,0
256,1
257,0
258,1
259,1
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,0
268,1
269,0
270,1
271,1
272,1
273,0
274,1
275,0
276,1
277,0
278,1
279,1
280,0
281,1
282,0
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,0
292,1
293,1
294,0
295,1
296,0
297,0
298,1
299,0
300,0
301,1
302,0
303,1
304,0
305,0
306,1
307,0
308,1
309,1
310,1
311,1
312,0
313,1
314,0
315,1
316,1
317,0
318,1
319,0
320,0
321,1
322,1
323,1
324,1
325,1
326,0
327,0
328,0
329,1
330,1
331,1
332,0
333,1
334,1
335,0
336,1
337,0
338,1
339,1
340,1
341,0
342,0
343,1
344,0
345,1
346,1
347,1
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,1
357,0
358,0
359,0
360,0
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,1
371,0
372,0
373,1
374,1
375,0
376,0
377,1
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,1
386,1
387,0
388,1
389,0
390,1
391,0
392,1
393,0
394,1
395,1
396,1
397,1
398,1
399,1
400,0
401,0
402,1
403,0
404,1
405,1
406,1
407,0
408,1
409,1
410,0
411,1
412,0
413,0
414,0
415,0
416,1
417,1
418,1
419,0
420,1
421,1
422,1
423,0
424,0
425,0
426,1
427,0
428,0
429,1
430,1
431,1
432,1
433,1
434,0
435,1
436,1
437,1
438,1
439,1
440,1
441,0
442,1
443,1
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,0
452,1
453,0
454,0
455,1
456,1
457,0
458,1
459,1
460,1
461,1
462,0
463,1
464,1
465,0
466,0
467,1
468,1
469,1
470,0
471,1
472,1
473,0
474,0
475,0
476,1
477,0
478,1
479,0
480,0
481,0
482,0
483,1
484,0
485,0
486,1
487,0
488,1
489,1
490,1
491,0
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,0
501,1
502,1
503,0
504,0
505,1
506,1
507,1
508,0
509,1
510,0
511,1
512,1
513,0
514,1
515,0
516,1
517,1
518,1
519,0
520,1
521,0
522,0
523,0
524,0
525,1
526,1
527,1
528,0
529,0
530,1
531,0
532,0
533,0
534,0
535,0
536,1
537,1
538,1
539,0
540,0
541,1
542,0
543,0
544,0
545,0
546,0
547,1
548,0
549,1
550,1
551,1
552,1
553,0
554,1
555,0
556,1
557,1
558,1
559,0
560,0
561,1
562,1
563,1
564,1
565,1
566,1
567,0
568,0
569,0
570,1
571,1
572,1
573,0
574,1
575,1
576,0
577,0
578,1
579,1
580,1
581,0
582,1
583,0
584,0
585,1
586,1
587,1
588,0
589,1
590,0
591,1
592,0
593,1
594,0
595,1
596,0
597,0
598,1
599,1
600,1
601,0
602,1
603,1
604,0
605,1
606,0
607,1
608,1
609,1
610,1
611,0
612,0
613,0
614,1
615,1
616,1
617,1
618,0
619,1
620,0
621,0
622,1
623,0
624,0
625,1
626,0
627,1
628,1
629,0
630,0
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,0
639,0
640,0
641,0
642,1
643,1
644,1
645,1
646,0
647,1
648,1
649,1
650,1
651,1
652,0
653,1
654,1
655,1
656,1
657,1
658,0
659,1
660,0
661,0
662,1
663,1
664,0
665,1
666,1
667,1
668,0
669,1
670,1
671,0
672,0
673,0
674,1
675,0
676,1
677,0
678,1
679,0
680,0
681,0
682,0
683,1
684,0
685,1
686,0
687,0
688,1
689,1
690,1
691,1
692,1
693,0
694,1
695,1
696,1
697,1
698,0
699,0
700,0
701,0
702,1
703,1
704,1
705,1
706,1
707,1
708,1
709,0
710,1
711,1
712,1
713,0
714,0
715,1
716,1
717,0
718,1
719,1
720,1
721,1
722,1
723,0
724,1
725,1
726,1
727,1
728,0
729,1
730,1
731,0
732,1
733,1
734,0
735,0
736,0
737,1
738,0
739,1
740,1
741,1
742,1
743,0
744,1
745,0
746,1
747,0
748,0
749,0
750,1
751,1
752,0
753,1
754,0
755,0
756,1
757,0
758,1
759,0
760,1
761,1
762,1
763,0
764,1
765,0
766,1
767,1
768,1
769,0
770,1
771,0
772,1
773,1
774,0
775,1
776,0
777,1
778,0
779,1
780,0
781,1
782,0
783,1
784,1
785,1
786,0
787,1
788,1
789,0
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,0
798,0
799,1
800,1
801,1
802,0
803,1
804,0
805,1
806,1
807,0
808,0
809,1
810,0
811,0
812,1
813,1
814,1
815,1
816,0
817,1
818,1
819,1
820,0
821,0
822,1
823,1
824,1
825,1
826,1
827,0
828,1
829,1
830,1
831,0
832,1
833,1
834,1
835,1
836,1
837,0
838,0
839,1
840,0
841,1
842,0
843,1
844,1
845,1
846,0
847,1
848,1
849,0
850,1
851,0
852,0
853,1
854,1
855,1
856,1
857,1
858,0
859,1
860,0
861,1
862,1
863,1
864,0
865,1
866,1
867,1
868,0
869,0
870,0
871,0
872,0
873,1
874,1
875,0
876,1
877,1
878,0
879,1
880,1
881,1
882,0
883,1
884,1
885,0
886,0
887,0
888,1
889,1
890,1
891,0
892,0
893,1
894,0
895,1
896,1
897,1
898,0
899,0
900,1
901,0
902,0
903,1
904,1
905,0
906,1
907,0
908,0
909,1
910,0
911,0
912,0
913,0
914,0
915,1
916,1
917,1
918,1
919,0
920,1
921,1
922,1
923,0
924,1
925,1
926,1
927,0
928,0
929,0
930,1
931,0
932,0
933,1
934,1
935,0
936,0
937,1
938,1
939,0
940,0
941,0
942,1
943,0
944,0
945,0
946,0
947,0
948,0
949,1
950,1
951,1
952,0
953,1
954,0
955,1
956,0
957,1
958,0
959,0
960,1
961,0
962,0
963,0
964,1
965,0
966,0
967,0
968,1
969,1
970,1
971,0
972,1
973,1
974,0
975,1
976,1
977,1
978,1
979,1
980,1
981,1
982,1
983,1
984,1
985,1
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,1
995,1
996,0
997,1
998,0
999,1
1000,0
1001,1
1002,0
1003,0
1004,1
1005,0
1006,1
1007,1
1008,0
1009,1
1010,0
1011,1
1012,1
1013,0
1014,1
1015,1
1016,1
1017,0
1018,0
1019,1
1020,0
1021,0
1022,0
1023,0
1024,1
1025,1
1026,1
1027,0
1028,1
1029,1
1030,1
1031,0
1032,0
1033,0
1034,1
1035,1
1036,1
1037,1
1038,0
1039,1
1040,1
1041,0
1042,1
1043,0
1044,1
1045,1
1046,1
1047,0
1048,1
1049,0
1050,1
1051,1
1052,1
1053,0
1054,1
1055,0
1056,0
1057,0
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1072,1
1073,0
1074,0
1075,0
1076,0
1077,1
1078,0
1079,1
1080,0
1081,0
1082,0
1083,0
1084,0
1085,1
1086,1
1087,1
1088,0
1089,1
1090,1
1091,1
1092,1
1093,0
1094,0
1095,1
1096,0
1097,1
1098,0
1099,0
1100,1
1101,0
1102,1
1103,1
1104,0
1105,1
1106,1
1107,1
1108,1
1109,1
1110,0
1111,1
1112,0
1113,0
1114,1
1115,0
1116,0
1117,1
1118,1
1119,1
1120,1
1121,1
1122,0
1123,1
1124,0
1125,1
1126,0
1127,0
1128,1
1129,1
1130,1
1131,1
1132,0
1133,1
1134,1
1135,1
1136,1
1137,0
1138,0
1139,1
1140,1
1141,1
1142,0
1143,1
1144,1
1145,1
1146,1
1147,1
1148,0
1149,0
1150,0
1151,1
1152,0
1153,0
1154,0
1155,0
1156,1
1157,0
1158,1
1159,1
1160,1
1161,1
1162,1
1163,0
1164,1
1165,1
1166,1
1167,0
1168,1
1169,1
1170,1
1171,0
1172,1
1173,0
1174,0
1175,1
1176,1
1177,1
1178,1
1179,1
1180,1
1181,0
1182,0
1183,0
1184,1
1185,1
1186,1
1187,1
1188,0
1189,1
1190,1
1191,0
1192,1
1193,0
1194,0
1195,1
1196,1
1197,0
1198,1
1199,0
1200,1
1201,1
1202,0
1203,1
1204,0
1205,1
1206,1
1207,0
1208,0
1209,0
1210,1
1211,0
1212,1
1213,1
1214,0
1215,1
1216,1
1217,1
1218,0
1219,0
1220,1
1221,0
1222,0
1223,1
1224,1
1225,1
1226,0
1227,0
1228,0
1229,1
1230,1
